sqft,bedrooms,bathrooms,age_years,garage,price
2330,3,3,45,yes,320945
1125,1,1.5,59,no,115755
1713,2,1,50,no,196608
1487,5,1,57,no,194742
1644,4,1.5,30,no,233135
2147,1,2,39,no,267685
2976,2,3.5,55,yes,391478
1512,1,2.5,9,no,197976
1611,4,3,48,yes,250920
949,2,1,58,yes,124247
1320,3,1.5,8,yes,221912
3484,3,2.5,37,yes,442682
2820,3,3.5,40,yes,397958
2460,3,2.5,0,yes,373812
1510,5,3,5,no,279097
2367,1,1,40,yes,294254
2502,5,2.5,27,yes,399117
1659,4,2.5,5,yes,284507
3362,1,3,36,yes,422985
1990,3,1.5,5,yes,322930
2476,2,3.5,42,no,307610
880,3,3,14,no,179574
1176,1,1.5,27,yes,166603
1433,1,1.5,2,no,177532
3147,1,3.5,46,yes,386404
2239,3,3,40,yes,306164
2393,4,3.5,3,yes,400080
2260,3,3,50,no,277197
1804,3,1.5,40,yes,263205
2589,4,1,33,yes,347490
1170,1,1,4,yes,179269
1065,1,1.5,50,no,103776
1765,4,2,49,yes,252069
714,1,1.5,31,yes,106627
2628,2,1.5,25,no,321384
2496,5,2,7,yes,380341
3423,3,3.5,34,no,471551
889,1,2.5,20,yes,140561
1191,2,2.5,14,yes,190561
998,4,3,3,no,215674
2755,4,2.5,54,yes,392986
1411,4,2,49,yes,195652
2491,5,1.5,37,yes,381729
1445,4,2,33,yes,219279
2465,3,2,43,no,336429
1088,5,1,8,no,202189
1404,1,1,55,yes,147812
1568,3,1.5,24,yes,244763
2843,5,1.5,16,yes,439556
1215,2,3.5,23,no,188318
1720,3,3.5,40,yes,266092
2312,1,3.5,10,no,326535
970,5,2,36,yes,181375
1968,1,3,2,yes,278205
1245,4,2,45,no,190263
3256,5,2,9,yes,478126
1602,2,1,28,no,219539
2912,5,1.5,57,no,376610
3181,3,2.5,0,yes,467382
1817,4,3,7,yes,310652
3144,2,1,57,no,370997
963,2,1,55,no,111273
1641,2,2.5,35,no,235239
1807,1,3,19,no,252929
2297,3,2.5,10,no,323262
1909,2,3,41,yes,255434
2167,5,2.5,27,yes,341330
1916,1,1.5,17,yes,237446
1235,5,1.5,56,yes,210302
1954,4,3.5,54,no,284114
2228,4,2,45,no,315785
1471,1,1.5,55,no,140960
2221,1,2.5,40,no,276265
2676,1,1.5,54,no,294822
3302,5,2.5,54,yes,469116
2820,4,3,28,yes,417402
2524,4,3,47,no,358086
1230,4,2,33,no,177597
1693,5,1,1,yes,311288
1862,5,2.5,26,yes,306729
